1: 8/23 (0.34782608695652173) [paere: 15]
2: 13/23 (0.5652173913043478) [paere: 10]
3: 15/23 (0.6521739130434783) [paere: 8]
4: 15/23 (0.6521739130434783) [paere: 8]
5: 16/23 (0.6956521739130435) [paere: 7]
6: 15/23 (0.6521739130434783) [paere: 8]
7: 17/23 (0.7391304347826086) [paere: 6]
8: 14/23 (0.6086956521739131) [paere: 9]
9: 15/23 (0.6521739130434783) [paere: 8]
10: 16/23 (0.6956521739130435) [paere: 7]
20: 18/23 (0.782608695652174) [paere: 5]
30: 18/23 (0.782608695652174) [paere: 5]
40: 17/23 (0.7391304347826086) [paere: 6]
50: 17/23 (0.7391304347826086) [paere: 6]
